,CV,TL,AL,TWC,AWC,TSC,ASC,TALRATIO,TAWCRATIO,TASCRATIO,TP,AP,TAPD,TAPMEAN,TS,AS,TASD,TASMEAN,TSCCRATIO,ASCCRATIO,TASCCRATIO,TASCCD,TKWC,AKWC,TAKWCRATIO,TMIKWP,AMIKWP,TMIKWS,AMIKWS,AFSP,TAFSPMEAN,TAFSPD,AFSS,TAFSSMEAN,TAFSSD,TMIKWAORATIO,TKWAORATIO,TKWAOWRATIO,TKWPMEAN,AKWPMEAN,TAKWPMEAN,TAKWPD,TKWPWMEAN,AKWPWMEAN,TAKWPWMEAN,TAKWPWD,TAMIKWFP,TAMIKWDIST,TAKWDIST
0,4.5,68,1537,12,303,1,16,0.04424202992843201,0.039603960396039604,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1323529411764706,0.18998048145738453,0.6966659951651893,0.057627540280913936,0.5,0.066006600660066,7.575000000000001,0.0,0.0,0.0,0.0,0.17500000000000002,0.08750000000000001,0.17500000000000002,0.24666666666666667,0.12333333333333334,0.24666666666666667,0.005681818181818182,-1.3704514044224498,-2.219852660016142,0.0,0.05,0.025,0.05,0.0,0.009144963332284553,0.0045724816661422765,0.009144963332284553,0.20738636363636365,-0.5470085470085471,-0.39449192782526116
1,3.0,64,3753,10,619,1,19,0.01705302424726885,0.01615508885298869,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.1561417532640554,0.8005546075085325,0.03114175326405541,0.6,0.03231017770597738,18.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01862464183381089,-1.3524937287888883,-2.156249922951114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008595988538681949,-0.07515726740977817,-0.2384875271902624
2,4.5,47,686,8,121,1,7,0.06851311953352769,0.06611570247933884,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14893617021276595,0.16034985422740525,0.9288201160541586,0.011413684014639297,0.625,0.1652892561983471,3.78125,0.0,0.0,0.0,0.0,-0.14285714285714285,-0.07142857142857142,-0.14285714285714285,0.20357142857142857,0.10178571428571428,0.20357142857142857,0.022556390977443608,-1.278753600952829,-2.2252776934847787,0.0,-0.02857142857142857,-0.014285714285714285,-0.02857142857142857,0.0,-0.005081377278730771,-0.0025406886393653854,-0.005081377278730771,0.015037593984962405,-0.0808080808080808,-0.3917748917748918
3,3.5,73,2788,16,504,1,22,0.02618364418938307,0.031746031746031744,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1643835616438356,0.1639167862266858,1.0028476364617367,-0.0004667754171498173,0.5,0.03968253968253968,12.600000000000001,0.0,0.0,0.0,0.0,0.35,0.175,0.35,0.55,0.275,0.55,0.0,-1.0134614353507605,-1.5426456208210808,0.0,0.0016666666666666666,0.0008333333333333333,0.0016666666666666666,0.0,0.00012952171687300533,6.476085843650266e-05,0.00012952171687300533,1.0,0.0,-0.16040500932587265
4,3.0,67,730,12,130,1,5,0.09178082191780822,0.09230769230769231,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13432835820895522,0.17671232876712328,0.7601527247483513,0.04238397055816806,0.5833333333333334,0.15384615384615385,3.7916666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013422818791946308,-1.1317935832540489,-1.9439631474221126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.436241610738255,0.21621621621621623,-0.14496314496314494
5,3.5,88,4333,15,730,1,29,0.020309254558042927,0.02054794520547945,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.15255019616893606,0.8194024205748867,0.02755019616893606,0.5333333333333333,0.0273972602739726,19.46666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012547051442910916,-1.0038312301056709,-1.7597966227627586,0.0,-0.005,-0.0025,-0.005,0.0,-0.0007157168586558813,-0.00035785842932794067,-0.0007157168586558813,0.04265997490589712,-0.24020100502512562,-0.07146491953438076
6,3.0,71,552,13,94,2,4,0.1286231884057971,0.13829787234042554,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15492957746478872,0.16485507246376813,0.9397926017644326,0.009925494998979406,0.46153846153846156,0.2127659574468085,2.1692307692307695,0.0,0.0,0.0,0.0,0.06517857142857142,0.03258928571428571,0.06517857142857142,0.4089285714285714,0.2044642857142857,0.4089285714285714,0.0,-1.3222192947339193,-1.8071111632233474,0.0,0.017499999999999998,0.008749999999999999,0.017499999999999998,0.0,0.0018287969993119838,0.0009143984996559919,0.0018287969993119838,1.0,0.0,-0.26153846153846155
7,4.0,100,3254,19,531,1,21,0.03073140749846343,0.035781544256120526,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14751075599262448,0.9490833333333334,0.007510755992624463,0.42105263157894735,0.03766478342749529,11.178947368421053,0.0,0.0,0.0,0.0,-0.18787878787878787,-0.09393939393939393,-0.18787878787878787,0.5181818181818182,0.2590909090909091,0.5181818181818182,0.005190311418685121,-1.585836579364848,-2.190845680855861,-0.08749999999999998,-0.03,-0.05874999999999999,0.05749999999999998,-0.02601948847401881,-0.0012306295981712855,-0.013625059036095049,0.024788858875847523,0.01384083044982699,-0.6683997689196997,-0.3945696129404968
8,5.0,59,4137,9,685,1,30,0.014261542180323905,0.013138686131386862,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11864406779661017,0.16146966400773508,0.7347762102912818,0.0428255962111249,0.7777777777777778,0.029197080291970802,26.63888888888889,0.0,0.0,0.0,0.0,0.13636363636363635,0.06818181818181818,0.13636363636363635,0.45454545454545453,0.22727272727272727,0.45454545454545453,0.00749063670411985,-1.4722687519252504,-2.139898208210402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003745318352059925,-0.10708333333333334,-0.2961111111111111
9,3.0,69,1223,12,198,1,8,0.056418642681929684,0.06060606060606061,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14492753623188406,0.16271463614063778,0.8906853106110262,0.017787099908753712,0.6666666666666666,0.10101010101010101,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043859649122807015,-1.153814864344529,-2.004283471569343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37280701754385964,-0.2599118942731278,-0.21640969162995594
